,city,latt,longt
290,Ioannina,39.65751,20.85011
291,Rhion,38.29558,21.78504
292,Patras,37.80053,-6.708189999999999
293,Aigio,38.25002,22.08824
294,Pyrgos,35.11698,25.71783
295,Kalamata,37.03603,22.10578
296,Tripoli,32.8656,13.20036
297,Ystad,55.4483,13.821279999999998
298,Helsingborg,56.05282,12.7213
299,Trelleborg,55.39991,13.15851
300,Kalmar,56.68145,16.335739999999998
301,Świnoujście,53.90057,14.26254
302,Wolin,53.87149,14.60038
303,Goleniów,53.55522,14.82495
304,Koszalin,54.19591,16.19436
305,Gorzów Wielkopolski,52.73678,15.236170000000001
306,Zielona Góra,51.9875,15.4807
307,Poznań,52.40676,16.90868
308,Legnica,51.20178,16.17397
309,Jelenia Góra,50.8839,15.72158
310,Wrocław,51.11411,17.011960000000002
311,Harrachov,50.77766,15.42985
312,Železný Brod,45.1603,18.0156
313,Turnov,50.584540000000004,15.16285
314,Teplice,50.6454,13.8261
315,Brno,49.20241,16.60761
316,Vienna,48.20762,16.36364
317,Bratislava,48.16369,17.11894
318,Trenčín,48.88939,18.04082
319,Olomouc,49.59255,17.259539999999998
320,Svitavy,49.75782,16.468239999999998
321,Rajka,47.9693,17.17574
322,Žilina,49.21474,18.74164
323,Győr,47.6794,17.646639999999994
324,Zvolen,48.575520000000004,19.13932
325,Dunajská Streda,47.99621,17.6117
326,Csorna,47.606320000000004,17.246760000000002
327,Szombathely,47.206070000000004,16.66251
328,Zalaegerszeg,46.84061,16.83719
329,Nagykanizsa,46.45277,17.00173
330,Letenye,46.46128,16.709979999999998
331,Zagreb,45.81828,15.975589999999999
332,Balatonvilágos,46.98045,18.17008
333,Torniyiszentmiklós,-35.28165,149.12837
334,Karlovac,45.46252,15.544179999999999
335,Ljubljana,46.064609999999995,14.5062
336,Slavonski Brod,45.167770000000004,18.013479999999994
337,Maribor,46.5547,15.6467
338,Rijeka,45.346379999999996,14.42344
339,Knin,44.0433,16.20544
340,Split,43.52466,16.45299
341,Pula,44.86882,13.846129999999999
342,Dubrovnik,42.65701,18.09393
343,Petrovac,42.21185,18.943070000000002
344,Podgorica,42.43166,19.26703
345,Prizren,42.21433,20.734070000000006
346,Bijelo Polje,43.00871,19.74127
347,Pristina,42.665929999999996,21.16403
348,Sarajevo,43.85889,18.36618
349,Nova Varoš,43.461009999999995,19.81091
350,Skopje,42.0,21.4333
351,Niš,43.335390000000004,21.93285
352,Kičevo,41.51318,20.95935
353,Kumanovo,42.1322,21.7144
354,Veles,41.72027,21.77971
355,Ohrid,41.10568,20.81543
356,Bitola,41.0311,21.3403
357,Niki,40.90661,21.42499
358,Vevi,40.7717,21.61469
359,Kozani,40.31286,21.799429999999997
360,Larissa,39.63689,22.41761
361,Thessaloniki,40.64397,22.93086
362,Domokos,39.13002,22.288610000000002
363,Lamia,38.89118,22.433020000000006
364,Katerini,40.26704,22.53113
365,Trikala,39.56435,21.76152
366,Volos,39.36963,22.94558
367,Brallos,38.72652,22.46432
368,Athens,37.99185,23.72585
369,Karpenisi,39.01592,21.78804
370,Itea,39.4491,22.1716
371,Antirrio,38.29875,21.78036
372,Corinth,35.59127,-81.41181999999998
373,Megara,37.99313,23.341910000000002
374,Sparti,37.07521,22.430220000000002
375,Kissamos,35.48649,23.65523
376,Chania,35.47405999999999,23.96773
377,Heraklion,35.28242,25.13778
378,Vardø,70.37293000000003,31.10387
379,Vadsø,70.07453000000001,29.752509999999997
380,Varangerbotn,70.16453,28.568659999999998
381,Utsjoki,69.75959,26.82998
382,Kirkenes,69.72471999999999,30.07852
