id,name,citations
57214528714,Jacak Witold Aleksander,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=57214528714&origin=inward
57209355806,Komorowska Katarzyna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=57209355806&origin=inward
55944773000,Smutnicki Czesław,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=55944773000&origin=inward
55446477000,Szymczyk-Zió?kowska Patrycja,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=55446477000&origin=inward
54415026300,Thorat Nanasaheb Devappa,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=54415026300&origin=inward
36672254900,Wawrzyńczyk Dominika,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=36672254900&origin=inward
35577317100,Cabaj Joanna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=35577317100&origin=inward
8543558000,Feder-Kubis Joanna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=8543558000&origin=inward
7003399345,Kucharski Andrzej A.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7003399345&origin=inward
6602688391,Zubel Irena,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6602688391&origin=inward
55876816900,Goścień Róża,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=55876816900&origin=inward
35618670200,Apostoluk Wiesław S.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=35618670200&origin=inward
6602549034,Trusek-Hołownia Anna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6602549034&origin=inward
6507985012,Ulatowska-Jarz?a Agnieszka,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6507985012&origin=inward
6506533429,Polowczyk Izabela,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6506533429&origin=inward
40661805800,Olesiak-Bańska Joanna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=40661805800&origin=inward
22135070400,Hnatkowska Bogumiła,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=22135070400&origin=inward
15725510000,Jaśkiewicz Anna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=15725510000&origin=inward
12241080700,Tarnowski Karol,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=12241080700&origin=inward
7801432630,MacIejewska Gabriela,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7801432630&origin=inward
6603253976,Morayne Michał L.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6603253976&origin=inward
6603076621,Latajka Rafał,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6603076621&origin=inward
6602245311,Videnova-Adrabińska Veneta,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6602245311&origin=inward
56278148600,Jermakowicz-Bartkowiak Dorota,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=56278148600&origin=inward
7102431098,Wiśniewski Jacek A.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7102431098&origin=inward
7004162358,Wiszniewski Andrzej,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7004162358&origin=inward
7003861604,Grzechowiak Jolanta R.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7003861604&origin=inward
6602363992,Skubalska-Rafajłowicz Ewa,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6602363992&origin=inward
56210422300,Mazur Alicja,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=56210422300&origin=inward
