id,label,department,orcid,disciplines,publications,citations,impact_factor,supervisorships
416340,Rafał Michalski,W08,0000-0002-0807-1925,['nauki o zarządzaniu i jakości'],91,49,17.171,0
452000,Ewa P. Chmielewska,W03,0000-0002-9210-9841,['nauki chemiczne'],38,45,47.132,0
109747,Jan Magott,W04,0000-0003-1329-1137,['informatyka techniczna i telekomunikacja'],137,174,15.465,7
802040,Bartosz Kuśmierz,W11,Nieznane,[],21,0,12.326,0
802020,Katarzyna Kluczyk,W11,Nieznane,[],14,0,23.980,0
802508,Karolina Żelazna,W11,Nieznane,[],14,0,31.158,0
461190,Monika Wełna,W11,0000-0002-8747-1520,['nauki fizyczne'],16,41,39.921,0
414870,Robert Kudrawiec,W11,0000-0003-2593-9172,['nauki fizyczne'],372,1752,754.379,6
283959,Lesław Ładniak,W05,0000-0003-1859-8162,"['automatyka', 'elektronika i elektrotechnika']",72,2,0.484,0
801900,Beata Solak,W05,0000-0001-9249-0294,[],6,0,0,0
237666,Anna Komperda,PRN,0000-0002-6500-4497,[],52,1,0,0
096472,Jerzy Kolanko,W11,Nieznane,[],86,3,0,0
493060,Przemysław Musz,W11,Nieznane,[],9,0,0,0
903391,Adam Tyrlicz,Nieznane,Nieznane,[],1,0,0,0
903392,Tomasz Grzeszczuk,Nieznane,Nieznane,[],1,0,0,0
903393,Daniel Mizera,Nieznane,Nieznane,[],1,0,0,0
903394,Mateusz Kiędracha,Nieznane,Nieznane,[],1,0,0,0
600470,Piotr Michał. Kowalski,W11,Nieznane,[],4,4,6.083,0
903395,Michał Redlicki,Nieznane,Nieznane,[],1,0,0,0
903396,Paulina Kaczmarska,W06,Nieznane,[],2,0,0,0
903397,Milena Chyla,W06,Nieznane,[],2,0,0,0
903399,Rafał Więcewicz,W06,Nieznane,[],1,0,0,0
457060,Wojciech M. Pakos,W02,0000-0002-3595-6577,['inżynieria lądowa i transport'],34,19,8.792,0
356498,Wojciech Sawicki,W02,0000-0002-9537-6160,['inżynieria lądowa i transport'],101,26,4.009,0
903400,Emil Jakub. Hammoudeh,Nieznane,Nieznane,[],1,0,0,0
903401,Jakub Lasia,Nieznane,Nieznane,[],1,0,0,0
903402,Monika Łakota,Nieznane,Nieznane,[],1,0,0,0
049681,Antoni Szydło,W02,0000-0002-3363-9391,['inżynieria lądowa i transport'],621,86,14.706,7
428910,Krzysztof Gasz,W02,0000-0002-0626-1389,['inżynieria lądowa i transport'],32,0,0,0
903403,Agnieszka Skowrońska,W06,Nieznane,[],1,0,0,0
490680,Paweł Mrowiński,W11,0000-0001-9931-7523,['nauki fizyczne'],26,29,51.542,0
465940,Karol L. Tarnowski,W11,0000-0003-3173-8609,"['nauki fizyczne', 'automatyka', 'elektronika i elektrotechnika']",46,170,78.593,0
424640,Jacek Olszewski,W11,0000-0002-8978-6059,['nauki fizyczne'],73,336,69.578,0
147671,Wacław Urbańczyk,W11,0000-0002-5584-7941,['nauki fizyczne'],331,1437,292.940,8
474290,Maciej M. Pieczarka,W11,0000-0002-2207-118X,['nauki fizyczne'],22,39,51.560,0
