id,name,citations,citation_count,Wydzial,Katedra
12780126700,Szyszka Adam,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=12780126700&origin=inward,1085,W12,Katedra Mikroelektroniki i Nanotechnologii
7005723351,Sokołowski Adam,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7005723351&origin=inward,4155,Unknown,Unknown
7401913014,Hoffmann Krystyna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7401913014&origin=inward,504,W03,"Katedra Inżynierii Bioprocesowej, Mikro i Nanoinżynierii"
6701396868,Dobrucki Andrzej B.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6701396868&origin=inward,979,W04,Katedra Akustyki i Multimediów
6602362557,Biskupski Andrzej,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6602362557&origin=inward,437,Unknown,Unknown
36149055300,Witek-Krowiak Anna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=36149055300&origin=inward,7030,W03,Katedra Zaawansowanych Technologii Materiałowych
7102883253,Woźniak Władysław A.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7102883253&origin=inward,836,W11,Katedra Optyki i Fotoniki
8919294300,Pezowicz Celina A.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=8919294300&origin=inward,2379,W10,"Katedra Mechaniki, Inżynierii Materiałowej i Biomedycznej"
8247907800,Ortyl Ewelina,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=8247907800&origin=inward,1249,W03,Katedra Inżynierii i Technologii Polimerów
6701913052,Gancarz Irena S.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6701913052&origin=inward,7608,Unknown,Unknown
6701493295,Charewicz Witold A.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6701493295&origin=inward,3200,Unknown,Unknown
6602726468,Sobolewska Anna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6602726468&origin=inward,2536,W03,Katedra Inżynierii i Modelowania Materiałów Zaawansowanych
55977342300,Ambroziak Andrzej,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=55977342300&origin=inward,1709,W10,"Katedra Obróbki Plastycznej, Spawalnictwa i Metrologii"
6603595900,Bartecki Adam M.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6603595900&origin=inward,1180,Unknown,Unknown
6701851063,Przylibski Tadeusz Andrzej,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6701851063&origin=inward,1994,W06,Katedra Górnictwa i Geodezji
6603020693,Maliszewska Irena H.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6603020693&origin=inward,4703,W03,Katedra Chemii Organicznej i Medycznej
55935282100,PopioŁek-Masajada Agnieszka,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=55935282100&origin=inward,1105,Unknown,Unknown
24475792200,Statkiewicz-Barabach Gabriela,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=24475792200&origin=inward,3056,W11,Katedra Optyki i Fotoniki
6603090292,Górecka Helena,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6603090292&origin=inward,6430,Unknown,Unknown
57214528714,Jacak Witold Aleksander,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=57214528714&origin=inward,0,W11,Katedra Technologii Kwantowych
57209355806,Komorowska Katarzyna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=57209355806&origin=inward,2734,W11,Katedra Optyki i Fotoniki
55944773000,Smutnicki Czesław,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=55944773000&origin=inward,5302,W04,Katedra Informatyki Technicznej
55446477000,Szymczyk-Zió?kowska Patrycja,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=55446477000&origin=inward,2282,Unknown,Unknown
54415026300,Thorat Nanasaheb Devappa,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=54415026300&origin=inward,6865,W11,Katedra Inżynierii Biomedycznej
36672254900,Wawrzyńczyk Dominika,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=36672254900&origin=inward,4450,W03,Katedra Inżynierii i Modelowania Materiałów Zaawansowanych
35577317100,Cabaj Joanna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=35577317100&origin=inward,1754,W03,Katedra Chemii Organicznej i Medycznej
8543558000,Feder-Kubis Joanna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=8543558000&origin=inward,2968,W03,Katedra Inżynierii Procesowej i Technologii Materiałów Polimerowych i Węglowych
7003399345,Kucharski Andrzej A.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7003399345&origin=inward,342,W04,Katedra Telekomunikacji i Teleinformatyki
6602688391,Zubel Irena,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6602688391&origin=inward,3679,Unknown,Unknown
55876816900,Goścień Róża,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=55876816900&origin=inward,1189,W04,Katedra Systemów i Sieci Komputerowych
35618670200,Apostoluk Wiesław S.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=35618670200&origin=inward,1881,Unknown,Unknown
6602549034,Trusek-Hołownia Anna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6602549034&origin=inward,1157,Unknown,Unknown
6507985012,Ulatowska-Jarz?a Agnieszka,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6507985012&origin=inward,1196,Unknown,Unknown
6506533429,Polowczyk Izabela,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6506533429&origin=inward,2237,W03,Katedra Inżynierii Procesowej i Technologii Materiałów Polimerowych i Węglowych
40661805800,Olesiak-Bańska Joanna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=40661805800&origin=inward,2902,W03,Katedra Inżynierii i Modelowania Materiałów Zaawansowanych
22135070400,Hnatkowska Bogumiła,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=22135070400&origin=inward,232,W08,Katedra Informatyki Stosowanej
