Authors,Link
"Xing C., Wang Y., Zhang C., Li L., Li Y., Li J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942931555&doi=10.1021%2facs.iecr.5b02819&partnerID=40&md5=e028cfd6071b6cebe087e2f652fb59eb"
"Xing C., You J., Li Y., Li J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941249158&doi=10.1021%2facs.jpcc.5b05349&partnerID=40&md5=4077c3c2e6b5c1de24088809f06a3a63"
"Zieliński W., Wilk K.A., Para G., Jarek E., Ciszewski K., Palus J., Warszyński P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939417875&doi=10.1016%2fj.colsurfa.2015.01.050&partnerID=40&md5=44e3925cb83f339bbf92b26656391f59"
"Pendleton J.N., Gilmore B.F.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937632816&doi=10.1016%2fj.ijantimicag.2015.02.016&partnerID=40&md5=062c7b24754228e560f013ec0e667036"
"Kundu K., Paul B.K., Bardhan S., Saha S.K.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955401752&doi=10.1002%2f9781118854501.ch20&partnerID=40&md5=e74fe91a146a2b4e38217b9e835f1f42"
"Bashir T., Shakoor A., Ahmad E., Saeed M., Niaz N.A., Tirmizi S.K.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84935902433&doi=10.1134%2fS1560090415030021&partnerID=40&md5=9ac29351617d191b1003904436907988"
"Pawlak K., Szurkowski J., Skrzypczak A., Bialek-Bylka G.E.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925703284&doi=10.1007%2fs10973-014-4185-5&partnerID=40&md5=b66e572ac543e9e2c89027e703611dbe"
"Xing C., Guan J., Chen Z., Zhu Y., Zhang B., Li Y., Li J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923884574&doi=10.1088%2f0957-4484%2f26%2f10%2f105704&partnerID=40&md5=f768caaa1ae34975597142ae71cb667a"
"Mutelet F., Carré P., Skrzypczak A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84916899225&doi=10.1016%2fj.fluid.2014.11.020&partnerID=40&md5=aca2b9a9ff4b5d90c2c50cb147a51815"
"Saini P., Choudhary V.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928898544&partnerID=40&md5=7117521a3269a32b7d8d48d7ef376343"
"Valderrama J.O., Faúndez C.A., Vicencio V.J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903488906&doi=10.1021%2fie5010459&partnerID=40&md5=9199dff667a90d81e7a40fedbaab0ea3"
"Hijosa-Valsero M., Molina R., Bayona J.M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894264936&doi=10.1080%2f09593330.2013.869624&partnerID=40&md5=36a4b17f7ed32172d373f8a378a3056a"
