Source,Target,Type,Id,Label,timeset,Weight
1,58,Directed,6602,,,1
85,58,Directed,6603,,,1
98,58,Directed,6604,,,1
115,58,Directed,6605,,,1
32,58,Directed,6606,,,1
101,58,Directed,6607,,,1
80,58,Directed,6608,,,1
70,58,Directed,6609,,,1
96,128,Directed,6610,,,1
85,128,Directed,6611,,,1
86,128,Directed,6612,,,1
97,128,Directed,6613,,,1
98,128,Directed,6614,,,1
107,128,Directed,6615,,,1
61,128,Directed,6616,,,1
92,128,Directed,6617,,,1
101,128,Directed,6618,,,1
96,129,Directed,6619,,,1
85,129,Directed,6620,,,1
98,129,Directed,6621,,,1
70,129,Directed,6622,,,1
96,78,Directed,6623,,,1
85,78,Directed,6624,,,1
86,78,Directed,6625,,,1
98,78,Directed,6626,,,1
32,78,Directed,6627,,,1
61,78,Directed,6628,,,1
101,78,Directed,6629,,,1
68,78,Directed,6630,,,1
85,79,Directed,6631,,,1
98,79,Directed,6632,,,1
115,79,Directed,6633,,,1
68,79,Directed,6634,,,1
70,79,Directed,6635,,,1
1,48,Directed,6636,,,1
102,55,Directed,6637,,,1
1,55,Directed,6638,,,1
19,55,Directed,6639,,,1
38,55,Directed,6640,,,1
75,55,Directed,6641,,,1
80,55,Directed,6642,,,1
5,123,Directed,6643,,,1
6,123,Directed,6644,,,1
130,123,Directed,6645,,,1
18,123,Directed,6646,,,1
19,123,Directed,6647,,,1
22,123,Directed,6648,,,1
23,123,Directed,6649,,,1
32,123,Directed,6650,,,1
33,123,Directed,6651,,,1
38,123,Directed,6652,,,1
131,123,Directed,6653,,,1
56,123,Directed,6654,,,1
65,123,Directed,6655,,,1
132,119,Directed,6656,,,1
130,119,Directed,6657,,,1
23,119,Directed,6658,,,1
38,119,Directed,6659,,,1
133,119,Directed,6660,,,1
118,119,Directed,6661,,,1
19,126,Directed,6662,,,1
38,126,Directed,6663,,,1
3,82,Directed,6664,,,1
5,82,Directed,6665,,,1
134,82,Directed,6666,,,1
83,82,Directed,6667,,,1
18,82,Directed,6668,,,1
19,82,Directed,6669,,,1
22,82,Directed,6670,,,1
23,82,Directed,6671,,,1
32,82,Directed,6672,,,1
33,82,Directed,6673,,,1
34,82,Directed,6674,,,1
38,82,Directed,6675,,,1
135,82,Directed,6676,,,1
39,82,Directed,6677,,,1
44,82,Directed,6678,,,1
47,82,Directed,6679,,,1
131,82,Directed,6680,,,1
74,82,Directed,6681,,,1
56,82,Directed,6682,,,1
63,82,Directed,6683,,,1
65,82,Directed,6684,,,1
81,82,Directed,6685,,,1
72,82,Directed,6686,,,1
114,43,Directed,6687,,,1
96,43,Directed,6688,,,1
1,43,Directed,6689,,,1
86,43,Directed,6690,,,1
73,43,Directed,6691,,,1
107,43,Directed,6692,,,1
61,43,Directed,6693,,,1
62,43,Directed,6694,,,1
80,43,Directed,6695,,,1
70,43,Directed,6696,,,1
3,85,Directed,6697,,,1
5,85,Directed,6698,,,1
8,85,Directed,6699,,,1
10,85,Directed,6700,,,1
14,85,Directed,6701,,,1
19,85,Directed,6702,,,1
34,85,Directed,6703,,,1
38,85,Directed,6704,,,1
75,85,Directed,6705,,,1
76,85,Directed,6706,,,1
74,85,Directed,6707,,,1
116,85,Directed,6708,,,1
128,85,Directed,6709,,,1
58,85,Directed,6710,,,1
129,85,Directed,6711,,,1
78,85,Directed,6712,,,1
79,85,Directed,6713,,,1
80,85,Directed,6714,,,1
1,53,Directed,6715,,,1
107,53,Directed,6716,,,1
75,53,Directed,6717,,,1
44,53,Directed,6718,,,1
80,53,Directed,6719,,,1
70,53,Directed,6720,,,1
70,136,Directed,6721,,,1
114,23,Directed,6722,,,1
96,23,Directed,6723,,,1
1,23,Directed,6724,,,1
86,23,Directed,6725,,,1
73,23,Directed,6726,,,1
89,23,Directed,6727,,,1
98,23,Directed,6728,,,1
107,23,Directed,6729,,,1
119,23,Directed,6730,,,1
115,23,Directed,6731,,,1
32,23,Directed,6732,,,1
137,23,Directed,6733,,,1
122,23,Directed,6734,,,1
123,23,Directed,6735,,,1
61,23,Directed,6736,,,1
62,23,Directed,6737,,,1
93,23,Directed,6738,,,1
95,23,Directed,6739,,,1
80,23,Directed,6740,,,1
82,23,Directed,6741,,,1
70,23,Directed,6742,,,1
124,23,Directed,6743,,,1
102,91,Directed,6744,,,1
19,91,Directed,6745,,,1
38,91,Directed,6746,,,1
42,91,Directed,6747,,,1
75,91,Directed,6748,,,1
44,91,Directed,6749,,,1
80,91,Directed,6750,,,1
5,61,Directed,6751,,,1
102,61,Directed,6752,,,1
8,61,Directed,6753,,,1
108,61,Directed,6754,,,1
84,61,Directed,6755,,,1
14,61,Directed,6756,,,1
1,61,Directed,6757,,,1
87,61,Directed,6758,,,1
109,61,Directed,6759,,,1
19,61,Directed,6760,,,1
23,61,Directed,6761,,,1
103,61,Directed,6762,,,1
104,61,Directed,6763,,,1
26,61,Directed,6764,,,1
112,61,Directed,6765,,,1
27,61,Directed,6766,,,1
105,61,Directed,6767,,,1
34,61,Directed,6768,,,1
38,61,Directed,6769,,,1
42,61,Directed,6770,,,1
43,61,Directed,6771,,,1
75,61,Directed,6772,,,1
44,61,Directed,6773,,,1
111,61,Directed,6774,,,1
131,61,Directed,6775,,,1
74,61,Directed,6776,,,1
128,61,Directed,6777,,,1
64,61,Directed,6778,,,1
118,61,Directed,6779,,,1
106,61,Directed,6780,,,1
78,61,Directed,6781,,,1
89,132,Directed,6782,,,1
119,132,Directed,6783,,,1
89,130,Directed,6784,,,1
107,130,Directed,6785,,,1
119,130,Directed,6786,,,1
115,130,Directed,6787,,,1
38,130,Directed,6788,,,1
123,130,Directed,6789,,,1
138,130,Directed,6790,,,1
70,130,Directed,6791,,,1
89,139,Directed,6792,,,1
89,140,Directed,6793,,,1
115,140,Directed,6794,,,1
89,141,Directed,6795,,,1
1,50,Directed,6796,,,1
89,50,Directed,6797,,,1
115,50,Directed,6798,,,1
38,50,Directed,6799,,,1
80,50,Directed,6800,,,1
96,131,Directed,6801,,,1
89,131,Directed,6802,,,1
107,131,Directed,6803,,,1
137,131,Directed,6804,,,1
122,131,Directed,6805,,,1
123,131,Directed,6806,,,1
61,131,Directed,6807,,,1
138,131,Directed,6808,,,1
82,131,Directed,6809,,,1
70,131,Directed,6810,,,1
124,131,Directed,6811,,,1
89,133,Directed,6812,,,1
107,133,Directed,6813,,,1
119,133,Directed,6814,,,1
115,133,Directed,6815,,,1
38,133,Directed,6816,,,1
138,133,Directed,6817,,,1
89,142,Directed,6818,,,1
115,142,Directed,6819,,,1
38,142,Directed,6820,,,1
89,143,Directed,6821,,,1
115,143,Directed,6822,,,1
144,89,Directed,6823,,,1
132,89,Directed,6824,,,1
5,89,Directed,6825,,,1
6,89,Directed,6826,,,1
130,89,Directed,6827,,,1
83,89,Directed,6828,,,1
139,89,Directed,6829,,,1
84,89,Directed,6830,,,1
87,89,Directed,6831,,,1
18,89,Directed,6832,,,1
19,89,Directed,6833,,,1
21,89,Directed,6834,,,1
23,89,Directed,6835,,,1
26,89,Directed,6836,,,1
112,89,Directed,6837,,,1
140,89,Directed,6838,,,1
31,89,Directed,6839,,,1
145,89,Directed,6840,,,1
32,89,Directed,6841,,,1
33,89,Directed,6842,,,1
36,89,Directed,6843,,,1
37,89,Directed,6844,,,1
38,89,Directed,6845,,,1
39,89,Directed,6846,,,1
42,89,Directed,6847,,,1
76,89,Directed,6848,,,1
141,89,Directed,6849,,,1
49,89,Directed,6850,,,1
50,89,Directed,6851,,,1
131,89,Directed,6852,,,1
74,89,Directed,6853,,,1
56,89,Directed,6854,,,1
146,89,Directed,6855,,,1
133,89,Directed,6856,,,1
64,89,Directed,6857,,,1
142,89,Directed,6858,,,1
143,89,Directed,6859,,,1
118,89,Directed,6860,,,1
80,89,Directed,6861,,,1
72,89,Directed,6862,,,1
0,107,Directed,6863,,,1
3,107,Directed,6864,,,1
5,107,Directed,6865,,,1
130,107,Directed,6866,,,1
12,107,Directed,6867,,,1
147,107,Directed,6868,,,1
15,107,Directed,6869,,,1
16,107,Directed,6870,,,1
87,107,Directed,6871,,,1
18,107,Directed,6872,,,1
19,107,Directed,6873,,,1
20,107,Directed,6874,,,1
23,107,Directed,6875,,,1
148,107,Directed,6876,,,1
31,107,Directed,6877,,,1
32,107,Directed,6878,,,1
33,107,Directed,6879,,,1
34,107,Directed,6880,,,1
36,107,Directed,6881,,,1
38,107,Directed,6882,,,1
39,107,Directed,6883,,,1
42,107,Directed,6884,,,1
43,107,Directed,6885,,,1
76,107,Directed,6886,,,1
49,107,Directed,6887,,,1
131,107,Directed,6888,,,1
51,107,Directed,6889,,,1
53,107,Directed,6890,,,1
56,107,Directed,6891,,,1
128,107,Directed,6892,,,1
59,107,Directed,6893,,,1
113,107,Directed,6894,,,1
133,107,Directed,6895,,,1
64,107,Directed,6896,,,1
65,107,Directed,6897,,,1
66,107,Directed,6898,,,1
5,115,Directed,6899,,,1
6,115,Directed,6900,,,1
130,115,Directed,6901,,,1
83,115,Directed,6902,,,1
9,115,Directed,6903,,,1
10,115,Directed,6904,,,1
16,115,Directed,6905,,,1
18,115,Directed,6906,,,1
23,115,Directed,6907,,,1
140,115,Directed,6908,,,1
31,115,Directed,6909,,,1
32,115,Directed,6910,,,1
33,115,Directed,6911,,,1
34,115,Directed,6912,,,1
37,115,Directed,6913,,,1
38,115,Directed,6914,,,1
44,115,Directed,6915,,,1
47,115,Directed,6916,,,1
50,115,Directed,6917,,,1
56,115,Directed,6918,,,1
58,115,Directed,6919,,,1
133,115,Directed,6920,,,1
65,115,Directed,6921,,,1
142,115,Directed,6922,,,1
143,115,Directed,6923,,,1
118,115,Directed,6924,,,1
79,115,Directed,6925,,,1
72,115,Directed,6926,,,1
23,137,Directed,6927,,,1
33,137,Directed,6928,,,1
38,137,Directed,6929,,,1
